date,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd,australia_ret_with_div_usd,australia_ret_without_div_usd,france_ret_with_div_usd,france_ret_without_div_usd,germany_ret_with_div_usd,germany_ret_without_div_usd,japan_ret_with_div_usd,japan_ret_without_div_usd,switzerland_ret_with_div_usd,switzerland_ret_without_div_usd,united kingdom_ret_with_div_usd,united kingdom_ret_without_div_usd
2006-06-01,-0.000391,-0.001887,0.004,0.051075065279889253,0.04517723476361657,0.020165280959647536,0.0138396540600505,0.0022811609763842,0.00015117241560691497,0.03693591003448282,0.036558290517241465,0.00747154821217344,0.006298207910547138,0.03397177102921067,0.030428272348738794
2006-07-01,-0.001912,-0.002955,0.004,-0.02919283557146657,-0.030583536003586653,0.00816940221489637,0.007497103614107603,0.0017221538369449618,0.0011692524298951845,-0.0038376379069768873,-0.003886824267442024,0.034201982641633766,0.03234405888153469,0.012907779230222571,0.006027128537764881
2006-08-01,0.025041,0.022968,0.0042,0.01927896391717998,0.011537402123653395,0.02183991311688538,0.021833324738477877,0.017085078915503482,0.0167370669367215,0.04124096510000008,0.04103178630000004,0.024541024593249583,0.02404339950923884,-0.019032214583707296,-0.025512061708890754
2006-09-01,0.019425,0.01811,0.0041,0.024376804607153302,0.0184661240452908,0.023835563877692367,0.023663066383194487,0.038677359467929495,0.038539930078446805,0.002098786470588143,-0.0024314820705881868,0.054431170739942525,0.05348864960605293,0.023224947712336075,0.021213205291034543
2006-10-01,0.037153,0.036107,0.0041,0.04620293700747635,0.04412279154521492,0.02997382844711094,0.02978169902241401,0.04448064246553063,0.04447837142165323,0.01791850006547624,0.017876253750000126,0.03524110757944543,0.03524110757944543,0.03268983684429516,0.030642154102136887
2006-11-01,0.023736,0.021374,0.0042,0.00014252888333343705,-0.00435187989047614,-0.015362702634116876,-0.01891456709032424,-0.015615551699914576,-0.015635567383899596,-0.020362781835294164,-0.020431471105882393,-0.0231523143735326,-0.0231523143735326,-0.02082291489647059,-0.02489085880705877
2006-12-01,0.010857,0.009154,0.004,0.020803274565334595,0.018521384890608283,0.0196024488013935,0.019131333500159053,0.022525193540567923,0.022497962333600796,0.047794972099999944,0.04723732300000005,0.02497313868111295,0.02497313868111295,0.007430116890188021,0.006640692446125751
2007-01-01,0.019387,0.018452,0.0044,0.023346906434398296,0.02326109679325339,0.027360853807242513,0.027266419509466733,0.051018634433041,0.04942289286038659,0.048979292198795266,0.04893385263253025,0.07034565103797874,0.07024630808061905,0.0004584361850208385,-0.0003604850536069737
2007-02-01,-0.014006,-0.015996,0.0038,0.016791868803729182,0.010278581354303817,-0.016925648511009195,-0.017150296288990896,-0.013456321821330275,-0.013612331196100946,0.016119903699999938,0.015868787300000076,-0.036358556519519025,-0.036358556519519025,-0.0017797418145387711,-0.004191742528664055
2007-03-01,0.012954,0.011479,0.0043,0.021415529628592944,0.016202470905824384,0.018967398947304925,0.018925347823644856,0.020541081633398628,0.02029441698686396,-0.038431151694117704,-0.0443498738823529,0.01514808552282032,0.011361977975389737,0.038326593282895116,0.030202401061369066
2007-04-01,0.039834,0.03847,0.0044,-0.01206164153946565,-0.012494508603215326,0.026175845694442534,0.024687876531325426,0.03288735834247025,0.026132288772559686,0.0021697422619049167,0.0021347252976193776,0.05507677740751715,0.04408473244796318,0.0025137280488960467,8.051014085408426e-06
2007-05-01,0.038953,0.036666,0.0041,0.031374814347770785,0.0285243939937605,0.04283337618801597,0.02848199270169416,0.050831351024870575,0.034793109199852124,0.040159850563855404,0.040088843137349395,0.019858833962144162,0.015269476947417093,0.02760234017576857,0.023796389609832547
